gene.name,adj.pvals,lFC,subpopulation
ATP9B,6.15E-241,0.658301302,Ex0
TMEM65,7.80E-240,0.867865958,Ex0
SRRM3,2.44E-238,0.551707885,Ex0
RCAN2,4.60E-238,0.501733511,Ex0
MLIP,6.56E-236,0.589995504,Ex0
ZNF609,2.03E-235,0.528681375,Ex0
COL24A1,3.39E-235,1.076624992,Ex0
TNFRSF25,5.58E-235,0.880439742,Ex0
NBPF11,2.97E-234,1.287731742,Ex0
USP25,6.10E-233,0.64896179,Ex0
NFIB,8.83E-230,0.559645997,Ex0
GRM1,1.20E-226,0.633186508,Ex0
NIPAL2,5.98E-225,0.62292688,Ex0
MAN1C1,8.45E-225,0.683294595,Ex0
ADAMTS3,2.67E-224,0.97595821,Ex0
KIAA2012,2.55E-223,1.213657161,Ex0
MCHR2,4.42E-223,0.787950818,Ex0
VWA3A,7.89E-218,0.967476372,Ex0
EML5,4.44E-217,0.859837122,Ex0
ZBTB7C,1.00E-216,0.872506328,Ex0
SNTB2,1.28E-214,0.787167225,Ex0
CACNA1E,1.23E-209,0.50155606,Ex0
ABLIM2,1.39E-209,0.59988408,Ex0
SLC44A1,2.88E-209,0.519842895,Ex0
GLRA3,1.42E-201,0.749262167,Ex0
NBAS,1.16E-199,0.614408908,Ex0
IGSF11,1.55E-197,0.789893594,Ex0
RTN4RL1,1.95E-197,0.766967612,Ex0
RAD9A,1.75E-196,0.612330597,Ex0
CPNE8,1.49E-194,0.6033035,Ex0
LZTS1,2.22E-194,0.693936357,Ex0
TCF12,1.71E-193,0.664323084,Ex0
TLK1,1.63E-191,0.612742518,Ex0
NPAS3,8.10E-190,0.562704243,Ex0
TMTC1,6.53E-189,0.656785115,Ex0
MTA3,1.53E-188,0.55330857,Ex0
PTH2R,5.00E-187,0.887633699,Ex0
FAM84A,3.80E-185,0.64199584,Ex0
UPP2,1.07E-184,0.749127126,Ex0
ANO5,8.08E-183,0.558713242,Ex0
MPP6,1.33E-182,0.674639502,Ex0
EML1,9.92E-181,0.930011103,Ex0
EVI5,9.52E-178,0.560996891,Ex0
SLF1,2.62E-177,0.668117382,Ex0
PITPNM2,1.95E-176,0.648964746,Ex0
NUP93,1.51E-175,0.847038938,Ex0
MOB1B,1.64E-175,0.820264236,Ex0
SLIT3,1.88E-175,0.518541822,Ex0
TTLL11,1.55E-173,0.661565876,Ex0
MPPED2,1.66E-173,0.603275407,Ex0
TYW1B,2.29E-171,0.866576274,Ex0
FHOD3,2.48E-171,0.648393545,Ex0
ITPKA,3.85E-171,0.622682594,Ex0
ACAP2,2.09E-170,0.561917899,Ex0
RNF115,6.61E-169,0.526316753,Ex0
ZNRF3,6.32E-168,0.686733166,Ex0
FKBP5,7.07E-168,0.753229893,Ex0
CDKL1,1.09E-166,0.639635567,Ex0
TMEM2,4.94E-165,0.787567548,Ex0
GOLGA8B,3.22E-164,0.774975894,Ex0
FAM153A,4.05E-163,0.72066616,Ex0
STAT4,1.68E-162,0.673962912,Ex0
ANKRD18B,5.11E-162,0.862375017,Ex0
GTF2IRD1,5.27E-162,0.824980855,Ex0
CDK6,3.83E-161,0.720173242,Ex0
NBPF12,6.30E-159,0.940580499,Ex0
IQCA1,1.27E-158,0.605418941,Ex0
WIPF3,1.43E-158,0.607464986,Ex0
CCBL1,1.46E-158,0.768915203,Ex0
TTLL5,2.67E-158,0.622132122,Ex0
DCLK2,8.88E-158,0.500842348,Ex0
TARBP1,3.16E-157,0.524721449,Ex0
LRRC2,1.89E-154,0.846630111,Ex0
KIF26B,2.11E-154,0.976554362,Ex0
NME7,2.06E-152,0.550172886,Ex0
DYX1C1,1.10E-150,0.899386171,Ex0
SYNJ2,2.81E-149,0.566841436,Ex0
ACAP3,4.37E-149,0.532754446,Ex0
EFR3B,4.79E-147,0.582739724,Ex0
NEK10,3.68E-146,0.614483744,Ex0
ANKRD28,1.40E-143,0.541291047,Ex0
FBXO34,8.99E-143,0.518958495,Ex0
PLCB4,1.39E-139,0.605996571,Ex0
CTNNAL1,8.55E-138,0.658462074,Ex0
POU2F2,1.95E-136,0.778963285,Ex0
FNDC3A,8.91E-136,0.595587777,Ex0
PILRB,2.79E-135,0.860436549,Ex0
KIAA1328,3.96E-134,0.528736832,Ex0
PRKDC,4.15E-132,0.514390762,Ex0
RFTN1,6.06E-132,0.638575358,Ex0
GNG2,3.89E-131,0.516546361,Ex0
DTWD2,8.99E-131,0.864572092,Ex0
SEC14L5,1.19E-130,0.64092107,Ex0
PRKCI,2.28E-130,0.595470767,Ex0
ECHDC2,5.27E-130,0.955511744,Ex0
LRFN2,1.35E-129,0.503999291,Ex0
ZRANB3,1.60E-129,0.542615238,Ex0
DNMT3A,2.66E-128,0.50358182,Ex0
SRPK1,1.09E-123,0.548826582,Ex0
WDFY2,1.11E-123,0.729606509,Ex0
ROCK1,5.80E-122,0.519932938,Ex0
LRRFIP2,5.27E-121,0.521520777,Ex0
KDM4B,2.59E-120,0.575549927,Ex0
ZBTB46,1.95E-119,0.692929388,Ex0
HNRNPL,6.61E-119,0.605519419,Ex0
CCDC57,7.58E-119,0.530212438,Ex0
GRB10,2.54E-116,0.579451025,Ex0
PPARGC1A,2.56E-116,0.62264698,Ex0
EPHA10,9.30E-116,0.635171102,Ex0
MTHFD1L,2.81E-115,0.549547997,Ex0
MYO6,3.64E-115,0.555097935,Ex0
INTU,4.21E-115,0.563856348,Ex0
RECK,7.90E-115,0.727047048,Ex0
LAMA2,1.04E-114,0.769616454,Ex0
ARL6,2.88E-114,0.631660897,Ex0
SEC14L1,4.15E-114,0.605047182,Ex0
LRRIQ1,5.95E-114,0.823054023,Ex0
ATF7IP2,1.08E-113,0.566874803,Ex0
PLEKHG5,1.58E-113,0.716449861,Ex0
TYW1,8.68E-113,0.614560119,Ex0
WWC1,1.96E-111,0.649225925,Ex0
KIAA0922,2.44E-111,0.686118634,Ex0
ADAM17,6.75E-110,0.683088229,Ex0
LRRN1,7.64E-110,0.66452493,Ex0
TMEM120B,1.34E-109,0.616818878,Ex0
POLN,1.45E-109,0.590905834,Ex0
SLAIN1,1.93E-109,0.503015517,Ex0
ZBBX,8.79E-108,0.5905201,Ex0
BANP,4.28E-105,0.577817594,Ex0
EPHX4,4.67E-104,0.597757312,Ex0
KLHL4,1.80E-103,0.602476377,Ex0
TLE1,2.48E-103,0.670738366,Ex0
ATP11A,2.93E-103,0.614777916,Ex0
ABI1,1.47E-102,0.54503269,Ex0
PCNT,2.62E-102,0.536969193,Ex0
LENG8,6.99E-102,0.683147689,Ex0
MYH9,1.41E-101,0.613491051,Ex0
QKI,2.90E-98,0.595956567,Ex0
NOXA1,4.22E-98,0.757625292,Ex0
TIMP3,8.97E-98,0.658008671,Ex0
GOLGA8A,6.58E-97,0.589017036,Ex0
ZNF346,2.72E-95,0.572880798,Ex0
ATP11B,4.00E-94,0.568568066,Ex0
LMF1,5.65E-94,0.610611564,Ex0
PTPRJ,9.72E-94,0.505430026,Ex0
EPHB1,3.95E-93,0.522706702,Ex0
MYO5C,2.48E-92,0.742811588,Ex0
WWC2,3.56E-91,0.553865614,Ex0
TTC8,5.45E-91,0.65289525,Ex0
COLQ,2.11E-90,0.613944957,Ex0
ZC3H8,4.90E-90,0.526066307,Ex0
DENND3,5.40E-90,0.72074853,Ex0
DLGAP3,9.07E-90,0.532088393,Ex0
ZCCHC6,1.39E-89,0.674371662,Ex0
GLMN,2.80E-89,0.508599304,Ex0
CYFIP1,2.30E-88,0.55788196,Ex0
PLEKHA2,4.86E-87,0.634501662,Ex0
MIS18BP1,9.86E-87,0.768160376,Ex0
E2F3,3.44E-86,0.597031158,Ex0
C2CD2,3.51E-86,0.63728502,Ex0
MOK,4.78E-86,0.55329279,Ex0
MALT1,6.19E-86,0.614577537,Ex0
DHRSX,7.49E-85,0.567180629,Ex0
DNAH7,1.31E-84,0.525652924,Ex0
SHROOM3,2.21E-82,0.55920076,Ex0
PCDH19,4.60E-82,0.5358615,Ex0
ARL4A,4.28E-81,0.615795081,Ex0
SLC1A1,2.71E-80,0.56714984,Ex0
HGSNAT,2.88E-80,0.516854666,Ex0
INPP5B,3.49E-80,0.554830309,Ex0
FAM65B,1.68E-79,0.576591808,Ex0
RPS6KA6,9.35E-79,0.536512134,Ex0
NPHP4,7.98E-78,0.550874669,Ex0
ABCC8,3.84E-77,0.528436136,Ex0
DOK5,1.13E-76,0.56398382,Ex0
USP4,2.26E-76,0.549193881,Ex0
GRIK4,1.04E-75,0.572202373,Ex0
AP1G2,1.31E-75,0.53183036,Ex0
ACADVL,8.25E-74,0.517808895,Ex0
CHKA,9.94E-74,0.504706739,Ex0
ZNF236,1.14E-73,0.573356385,Ex0
ATF6B,1.44E-73,0.506887752,Ex0
SSFA2,2.05E-72,0.568775106,Ex0
RASA3,1.12E-71,0.577822817,Ex0
MINK1,5.20E-70,0.522886626,Ex0
SPDYE5,3.57E-69,0.723312726,Ex0
C4orf22,4.90E-69,0.51997604,Ex0
PTPRB,3.25E-68,0.533306047,Ex0
CFAP69,1.68E-65,0.618902013,Ex0
RANBP10,1.86E-65,0.586798045,Ex0
PALLD,1.29E-62,0.511133491,Ex0
RP4-777O23.3,2.55E-62,0.573809406,Ex0
RP11-156P1.2,1.34E-61,0.50675247,Ex0
P2RY14,3.03E-61,0.577381674,Ex0
ADAM9,4.91E-58,0.501764621,Ex0
PSRC1,2.22E-57,0.532410537,Ex0
C4orf47,1.27E-56,0.554524543,Ex0
NPIPA1,5.56E-56,0.573684915,Ex0
DEPDC5,7.70E-56,0.534901549,Ex0
PDE5A,2.14E-55,0.512506694,Ex0
CTC-490E21.12,2.19E-52,0.515714412,Ex0
HS2ST1,3.19E-51,0.501450434,Ex0
IPO11,7.24E-48,0.536909181,Ex0
RPL31,4.10E-36,0.552789578,Ex0
SPDYE2,1.09E-30,0.52729827,Ex0
EFHD2,0,1.065133921,Ex1
HPCA,0,1.095507746,Ex1
ELAVL4,0,0.848803582,Ex1
SSBP3,0,0.702498962,Ex1
PDE4B,0,1.310122712,Ex1
WLS,0,1.593447106,Ex1
ST6GALNAC3,0,1.479030157,Ex1
FNBP1L,0,1.791866411,Ex1
ARHGAP29,0,1.904923147,Ex1
COL11A1,0,1.881326963,Ex1
KCNT2,0,1.024475392,Ex1
SMYD2,0,1.463806239,Ex1
CCDC85A,0,1.163676474,Ex1
BCL11A,0,0.84860075,Ex1
DNAH6,0,1.252918833,Ex1
TRABD2A,0,3.437066399,Ex1
TMSB10,0,0.945826141,Ex1
DPP10,0,0.899744278,Ex1
LRP1B,0,0.599319709,Ex1
KCNH7,0,0.933238498,Ex1
PDE1A,0,0.715713522,Ex1
NYAP2,0,1.285929346,Ex1
SPHKAP,0,1.690504937,Ex1
PID1,0,1.323956123,Ex1
CNTN3,0,0.814112074,Ex1
EPHA3,0,1.563414499,Ex1
MGLL,0,1.275968591,Ex1
CPNE4,0,0.972446702,Ex1
NMNAT3,0,1.353464187,Ex1
CLSTN2,0,1.203141391,Ex1
KCNAB1,0,1.053388949,Ex1
SORCS2,0,1.589850045,Ex1
PCDH7,0,0.64937305,Ex1
KLHL5,0,1.856680986,Ex1
CXXC4,0,1.473531454,Ex1
CAMK2D,0,1.561991531,Ex1
ARSJ,0,2.976720993,Ex1
RXFP1,0,1.17824754,Ex1
TLL1,0,3.415358145,Ex1
GALNT7,0,1.327029592,Ex1
GHR,0,1.559286995,Ex1
PHACTR1,0,0.539391701,Ex1
COL21A1,0,2.004140489,Ex1
COL12A1,0,1.619458162,Ex1
GRIK2,0,0.813673748,Ex1
SLC35F1,0,0.746677829,Ex1
NKAIN2,0,0.645534105,Ex1
PLAGL1,0,1.541460583,Ex1
IPCEF1,0,0.909907973,Ex1
ETV1,0,1.78302758,Ex1
CHN2,0,1.745769298,Ex1
PDE1C,0,2.067336509,Ex1
DPY19L1,0,1.478606863,Ex1
WBSCR17,0,0.61173245,Ex1
PCLO,0,0.695377388,Ex1
CDK14,0,0.634828221,Ex1
FOXP2,0,1.130840455,Ex1
FAM3C,0,1.559660905,Ex1
CADPS2,0,0.895473337,Ex1
GRM8,0,1.559533075,Ex1
IL1RAPL2,0,1.717543166,Ex1
KIAA1456,0,1.179369098,Ex1
NRG1,0,1.177984705,Ex1
TOX,0,0.781898835,Ex1
STMN2,0,0.785503963,Ex1
NCALD,0,0.883362062,Ex1
SLC24A2,0,0.711830858,Ex1
TRPM3,0,0.735665164,Ex1
RORB,0,1.289460225,Ex1
PRUNE2,0,1.281467573,Ex1
GRIN3A,0,1.923320972,Ex1
ASTN2,0,1.126368611,Ex1
PARVA,0,1.819920692,Ex1
PDE3B,0,1.076441579,Ex1
LDLRAD3,0,1.61014774,Ex1
TENM4,0,0.921224102,Ex1
CNTN5,0,0.837323667,Ex1
MKX,0,2.072315758,Ex1
ARHGAP12,0,1.425995924,Ex1
PRKG1,0,1.051890104,Ex1
PCDH15,0,1.700818673,Ex1
SNCG,0,1.421312477,Ex1
CTBP2,0,1.211388887,Ex1
ST8SIA1,0,0.978453314,Ex1
LRMP,0,1.401030704,Ex1
TMEM117,0,0.981549851,Ex1
GRIP1,0,1.376790243,Ex1
KCNC2,0,1.099779384,Ex1
GLIPR1,0,1.887703982,Ex1
NTN4,0,1.428691495,Ex1
LHFP,0,1.014010617,Ex1
DACH1,0,1.207979919,Ex1
KLF12,0,0.977271191,Ex1
MDGA2,0,0.584938439,Ex1
CHGA,0,0.911958275,Ex1
OCA2,0,1.715166457,Ex1
FAM189A1,0,0.965349748,Ex1
UNC13C,0,0.871346446,Ex1
RORA,0,0.929307124,Ex1
LRRK1,0,1.789458922,Ex1
HS3ST2,0,1.561985756,Ex1
HS3ST4,0,1.029477708,Ex1
PTPRM,0,1.26652692,Ex1
CELF4,0,0.805900285,Ex1
RAB27B,0,1.177065967,Ex1
CDH20,0,1.912268032,Ex1
CDH7,0,2.187050387,Ex1
MBP,0,0.887313577,Ex1
SYNDIG1,0,0.832813508,Ex1
PTPRT,0,1.173695335,Ex1
PCP4,0,2.048763734,Ex1
RHOBTB3,6.13E-305,1.334176661,Ex1
ALDH1A2,5.48E-304,1.618530093,Ex1
ELAVL2,8.88E-302,0.837525228,Ex1
SLC22A10,7.00E-300,0.75164949,Ex1
PHACTR2,3.50E-299,1.188731889,Ex1
FRMD3,6.83E-298,1.248535627,Ex1
CDK18,1.70E-296,1.323869171,Ex1
GRM3,5.80E-295,0.759322357,Ex1
TMEFF2,1.39E-293,0.654526207,Ex1
GRID2,3.32E-291,0.645549536,Ex1
GABRG3,1.28E-286,0.668301513,Ex1
CALD1,1.08E-285,1.16213868,Ex1
RIMS1,6.89E-285,0.601884814,Ex1
TMTC2,1.04E-278,0.84542064,Ex1
MYRIP,1.99E-272,0.613528301,Ex1
CRIM1,4.28E-272,0.866415516,Ex1
CDHR3,5.66E-270,1.234496443,Ex1
RHBDL3,1.97E-269,0.861039626,Ex1
NAP1L3,1.64E-268,0.819275,Ex1
KIAA0319,1.06E-267,0.875395805,Ex1
PDE4A,1.17E-265,0.812937247,Ex1
PLOD2,5.31E-259,1.44413135,Ex1
KLHL32,3.75E-258,0.809993213,Ex1
TEAD1,3.20E-256,1.064634372,Ex1
KAZN,2.53E-251,0.641747533,Ex1
PRKCE,3.89E-251,0.544926061,Ex1
NREP,1.35E-250,0.878088668,Ex1
CNIH3,2.43E-248,1.089702846,Ex1
NAALAD2,5.45E-248,0.951117312,Ex1
ITPK1,3.97E-246,0.710122411,Ex1
DNAJC1,3.62E-240,0.755583408,Ex1
APOD,7.34E-239,1.159735351,Ex1
RPH3A,2.04E-237,0.69828971,Ex1
DIRAS2,2.08E-235,0.572548709,Ex1
NEK11,3.40E-233,0.915745363,Ex1
CAMK2G,4.97E-231,0.583440468,Ex1
FSTL4,8.65E-231,0.602269221,Ex1
HTR2A,1.27E-228,0.772561481,Ex1
STX1A,7.75E-227,0.716576406,Ex1
VAT1L,7.10E-225,1.082622083,Ex1
CDH10,5.86E-221,0.588467867,Ex1
SLC1A2,6.91E-220,0.882284546,Ex1
STMN1,9.88E-216,0.527217082,Ex1
XKR4,6.57E-214,0.554344357,Ex1
RAB3C,5.99E-213,0.648710004,Ex1
DNER,3.02E-208,0.969357634,Ex1
NCK2,9.61E-207,0.94200034,Ex1
FSTL5,1.26E-206,0.685427415,Ex1
CDH8,2.26E-206,0.502020719,Ex1
PDZRN3,3.06E-205,0.603687877,Ex1
TTC9B,5.38E-205,0.770560919,Ex1
UBE2QL1,4.64E-204,0.735053323,Ex1
BICD1,1.58E-203,0.571835601,Ex1
PLCXD3,4.33E-203,0.630091493,Ex1
SYT17,1.41E-202,0.872189563,Ex1
WWOX,1.45E-202,0.575865566,Ex1
SRRM4,2.96E-201,0.500203371,Ex1
AES,1.12E-195,0.59769358,Ex1
ACOT11,4.34E-195,0.86890741,Ex1
NAPEPLD,3.59E-194,0.663365405,Ex1
NUDT4,6.72E-194,0.723102928,Ex1
FOXN3,1.19E-193,0.656337913,Ex1
NRSN1,1.26E-193,0.735572295,Ex1
PCDH10,8.11E-192,0.722316458,Ex1
PTCHD4,1.02E-191,0.779335268,Ex1
UTRN,3.93E-191,1.038908617,Ex1
PLCL2,1.04E-188,0.624862308,Ex1
FUT8,5.53E-187,0.702864156,Ex1
ACVR2A,7.37E-186,0.890141694,Ex1
FAM134B,1.15E-185,0.560980213,Ex1
KCNB2,9.63E-185,0.522346342,Ex1
SLCO3A1,3.14E-184,0.605915865,Ex1
RNF146,8.71E-181,0.825529849,Ex1
VWC2,2.48E-179,0.897594509,Ex1
PDGFC,6.97E-174,1.020396039,Ex1
SAMD4A,2.77E-172,0.962436498,Ex1
MTSS1,1.45E-168,0.911789191,Ex1
ZNF704,2.86E-168,0.605050619,Ex1
HIVEP3,2.51E-167,0.504620255,Ex1
NDN,5.06E-166,0.75916397,Ex1
ADD2,5.58E-166,0.543573383,Ex1
BMPER,1.50E-164,0.511774871,Ex1
HIVEP1,1.00E-160,0.805506888,Ex1
DIXDC1,1.99E-160,0.759980063,Ex1
PARM1,2.58E-160,0.628563176,Ex1
EXT1,4.53E-160,0.501954419,Ex1
SIPA1L2,5.54E-159,0.809120264,Ex1
TNIK,8.82E-157,0.501764095,Ex1
EPS15,1.33E-156,0.626577005,Ex1
TRIM44,3.24E-156,0.519816941,Ex1
EPHA5,7.11E-156,0.51292927,Ex1
IQSEC1,1.46E-152,0.512026901,Ex1
TMEM132C,6.05E-150,1.07267657,Ex1
SSTR2,4.04E-149,0.742297293,Ex1
ARL15,5.76E-149,0.523733439,Ex1
TIMP2,3.99E-148,0.717571738,Ex1
NAP1L2,1.13E-147,0.519444353,Ex1
TTC39C,6.11E-143,0.54575796,Ex1
CEMIP,1.54E-141,0.713303435,Ex1
CAPS2,2.79E-141,0.637277633,Ex1
ATP8B1,3.47E-141,0.823412991,Ex1
SMARCD3,2.47E-140,0.814619411,Ex1
SLC8A3,4.32E-139,0.86802262,Ex1
BAALC,4.82E-138,0.532651086,Ex1
SORCS3,5.56E-138,0.689276554,Ex1
VOPP1,1.27E-137,0.589222403,Ex1
NAP1L5,4.37E-137,0.631115088,Ex1
RALGPS2,5.09E-137,0.654262017,Ex1
NCOA3,2.51E-136,0.787258021,Ex1
KDM7A,2.99E-136,1.017118533,Ex1
ST5,5.43E-135,0.846946796,Ex1
NETO2,5.70E-131,0.689574793,Ex1
OSBPL9,1.18E-130,0.778912159,Ex1
EPHA7,1.53E-129,0.521443186,Ex1
IL12RB2,3.80E-128,0.828175621,Ex1
RHOB,6.92E-126,0.752440971,Ex1
MAN2A1,9.78E-126,0.56816443,Ex1
WASF3,1.53E-125,0.65703612,Ex1
POLR1D,1.64E-125,0.795415288,Ex1
ANKRD44,1.73E-124,0.723734136,Ex1
FEM1B,1.90E-124,0.521389323,Ex1
CACNA1I,2.39E-124,0.631999191,Ex1
KIF17,4.97E-124,0.831110567,Ex1
L3MBTL4,3.05E-123,0.755316552,Ex1
SLC25A22,1.88E-122,0.563253942,Ex1
HCFC1R1,2.40E-120,0.530576075,Ex1
PVRL1,1.60E-117,0.632162126,Ex1
EFNB2,1.29E-116,0.665808039,Ex1
EXTL3,8.12E-115,0.528192984,Ex1
SNRPN,4.48E-114,0.531403483,Ex1
MOAP1,1.84E-113,0.507740837,Ex1
PHKB,4.06E-113,0.622058786,Ex1
SLC9A9,4.68E-113,0.954336893,Ex1
OSBPL10,1.63E-111,0.584155532,Ex1
CBLB,2.79E-110,0.712302812,Ex1
ARHGAP20,4.06E-110,0.68533219,Ex1
KIAA0430,8.47E-109,0.577927639,Ex1
SLC22A23,1.52E-108,0.533523104,Ex1
RALGAPA2,4.43E-108,0.642840327,Ex1
ST6GAL1,1.15E-107,0.696061041,Ex1
LHX2,5.38E-107,0.632445127,Ex1
SH3BP5,3.90E-105,0.505498699,Ex1
CHD3,7.14E-105,0.630849103,Ex1
ADGRA1,7.90E-105,0.572880137,Ex1
KBTBD12,1.12E-102,0.702257497,Ex1
TENM1,2.58E-102,0.603694925,Ex1
GPLD1,2.00E-101,0.700629909,Ex1
GK,3.10E-101,0.732484804,Ex1
ASAP2,2.22E-100,0.697446213,Ex1
CDH4,2.83E-99,0.599223982,Ex1
IFIT1,3.43E-99,0.630544405,Ex1
ANGPTL1,1.40E-97,1.025756322,Ex1
TCEAL7,2.42E-97,0.558059508,Ex1
LGI1,3.81E-97,0.500234284,Ex1
MOB3B,4.25E-97,0.614662241,Ex1
GABRA5,6.88E-96,0.524127734,Ex1
OPRM1,1.52E-95,0.573536392,Ex1
ANP32A,4.30E-95,0.535591759,Ex1
PRDM8,1.31E-94,0.521792315,Ex1
ACYP1,1.51E-94,0.664339056,Ex1
BCAT1,6.05E-94,0.654067268,Ex1
LIPA,3.29E-92,0.533162644,Ex1
ST3GAL6,8.95E-92,0.58891877,Ex1
KCNK10,5.47E-91,0.672278478,Ex1
RANBP17,1.59E-90,0.587661587,Ex1
PNMA6A,1.79E-89,0.566399897,Ex1
MAGED2,2.81E-89,0.596916802,Ex1
TACC2,6.40E-89,0.76561307,Ex1
